undefined | 2022-03-28 20:19:14 error: create connection pool failed.. : ConnectionError: Failed to connect to localhost:1433 - Could not connect (sequence)
undefined | 2022-03-28 20:19:59 error: create connection pool failed.. : ConnectionError: Failed to connect to localhost:1430 - Could not connect (sequence)
undefined | 2022-03-28 20:22:06 error: create connection pool failed.. : ConnectionError: 사용자 'KPOP_sa'이(가) 로그인하지 못했습니다.
undefined | 2022-03-28 20:23:02 info: URL : /
undefined | 2022-03-28 20:23:02 info: Create a key attempt : tCLgdWbNXVtGMSjKpJ05FROFKsguul2c
undefined | 2022-03-28 20:23:05 info: URL : /signup
undefined | 2022-03-28 20:23:05 info: URL : /api/list/getCountry
undefined | 2022-03-28 20:23:05 info: start decryptAll..
undefined | 2022-03-28 20:23:05 info: callProcedureSync start - SP_COUNTRY
undefined | 2022-03-28 20:23:05 info: during time : 97
undefined | 2022-03-28 20:23:05 info: SP_COUNTRY callProcedureSync success
undefined | 2022-03-28 20:23:05 info: URL : /api/list/getCenterList
undefined | 2022-03-28 20:23:05 info: start decryptAll..
undefined | 2022-03-28 20:23:05 info: callProcedureSync start - SP_CENTER_LIST
undefined | 2022-03-28 20:23:05 info: during time : 29
undefined | 2022-03-28 20:23:05 info: SP_CENTER_LIST callProcedureSync success
undefined | 2022-03-28 20:23:05 info: URL : /api/list/getBankList
undefined | 2022-03-28 20:23:05 info: start decryptAll..
undefined | 2022-03-28 20:23:05 info: callProcedureSync start - SP_BANK_LIST
undefined | 2022-03-28 20:23:06 info: during time : 29
undefined | 2022-03-28 20:23:06 info: SP_BANK_LIST callProcedureSync success
undefined | 2022-03-28 20:23:59 info: URL : /api/list/searchP
undefined | 2022-03-28 20:23:59 info: start decryptAll..
undefined | 2022-03-28 20:23:59 info: callProcedureSync start - SP_ID_SEARCH_P
undefined | 2022-03-28 20:23:59 info: NAME : SEARCH_ID, VALUE : test
undefined | 2022-03-28 20:23:59 info: during time : 86
undefined | 2022-03-28 20:23:59 info: SP_ID_SEARCH_P callProcedureSync success
undefined | 2022-03-28 20:54:06 info: URL : /
undefined | 2022-03-28 20:54:34 info: URL : /
undefined | 2022-03-28 21:07:09 info: URL : /
undefined | 2022-03-28 21:08:01 info: URL : /
undefined | 2022-03-28 21:10:48 info: URL : /
undefined | 2022-03-28 21:11:22 info: URL : /
undefined | 2022-03-28 21:11:55 info: URL : /lang?num=1
undefined | 2022-03-28 21:11:55 info: URL : /
undefined | 2022-03-28 21:11:57 info: URL : /lang?num=0
undefined | 2022-03-28 21:11:57 info: URL : /
undefined | 2022-03-28 21:12:05 info: URL : /signup
undefined | 2022-03-28 21:12:06 info: URL : /api/list/getCountry
undefined | 2022-03-28 21:12:06 info: start decryptAll..
undefined | 2022-03-28 21:12:06 info: callProcedureSync start - SP_COUNTRY
undefined | 2022-03-28 21:12:06 info: during time : 125
undefined | 2022-03-28 21:12:06 info: SP_COUNTRY callProcedureSync success
undefined | 2022-03-28 21:12:06 info: URL : /api/list/getCenterList
undefined | 2022-03-28 21:12:06 info: start decryptAll..
undefined | 2022-03-28 21:12:06 info: callProcedureSync start - SP_CENTER_LIST
undefined | 2022-03-28 21:12:06 info: during time : 27
undefined | 2022-03-28 21:12:06 info: SP_CENTER_LIST callProcedureSync success
undefined | 2022-03-28 21:12:06 info: URL : /api/list/getBankList
undefined | 2022-03-28 21:12:06 info: start decryptAll..
undefined | 2022-03-28 21:12:06 info: callProcedureSync start - SP_BANK_LIST
undefined | 2022-03-28 21:12:06 info: during time : 26
