undefined | 2022-03-29 00:47:44 error: _stream.Readable.from is not a function
undefined | 2022-03-29 03:51:27 error: _stream.Readable.from is not a function
undefined | 2022-03-29 03:51:41 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 in 15000ms
undefined | 2022-03-29 03:53:01 error: _stream.Readable.from is not a function
undefined | 2022-03-29 03:53:15 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 in 15000ms
undefined | 2022-03-29 03:59:45 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 - Could not connect (sequence)
undefined | 2022-03-29 04:02:56 error: _stream.Readable.from is not a function
undefined | 2022-03-29 04:03:16 error: _stream.Readable.from is not a function
undefined | 2022-03-29 04:03:30 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 in 15000ms
undefined | 2022-03-29 04:03:53 error: _stream.Readable.from is not a function
undefined | 2022-03-29 04:04:08 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 in 15000ms
undefined | 2022-03-29 04:05:17 error: _stream.Readable.from is not a function
undefined | 2022-03-29 04:05:31 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 in 15000ms
undefined | 2022-03-29 04:06:29 error: _stream.Readable.from is not a function
undefined | 2022-03-29 04:06:49 error: _stream.Readable.from is not a function
undefined | 2022-03-29 05:26:18 error: _stream.Readable.from is not a function
undefined | 2022-03-29 05:26:32 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 in 15000ms
undefined | 2022-03-29 11:19:54 error: _stream.Readable.from is not a function
undefined | 2022-03-29 11:20:08 error: create connection pool failed.. : ConnectionError: Failed to connect to 222.239.193.199:1433 in 15000ms
undefined | 2022-03-29 12:39:08 error: paramsCheck failed
undefined | 2022-03-29 12:40:04 error: paramsCheck failed
undefined | 2022-03-29 12:41:15 error: paramsCheck failed
undefined | 2022-03-29 12:41:30 error: paramsCheck failed
undefined | 2022-03-29 17:19:28 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:20:25 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:21:38 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:22:29 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:22:59 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:23:11 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:23:33 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:23:41 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:24:16 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:26:10 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:26:12 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:26:14 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:26:16 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:27:16 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:30:16 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:33:16 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:36:16 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:39:17 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:42:17 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:45:17 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:48:17 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:51:18 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:54:18 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 17:57:18 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:00:18 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:03:18 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:06:19 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:09:19 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:12:19 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:15:20 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:18:20 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:21:20 error: Cannot read properties of undefined (reading 'name')
undefined | 2022-03-29 18:24:20 error: Cannot read properties of undefined (reading 'name')
