undefined | 2023-04-10 02:27:00 error: executeProcedure failed : RequestError: Procedure or function 'SP_MEMBER_LOGIN' expects parameter '@os_infor', which was not supplied.
undefined | 2023-04-10 02:27:00 error: callProcedureSync failed
undefined | 2023-04-10 02:27:00 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:31:56 error: executeProcedure failed : RequestError: Procedure or function 'SP_MEMBER_LOGIN' expects parameter '@os_infor', which was not supplied.
undefined | 2023-04-10 02:31:56 error: callProcedureSync failed
undefined | 2023-04-10 02:31:56 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:31:57 error: executeProcedure failed : RequestError: Procedure or function 'SP_MEMBER_LOGIN' expects parameter '@os_infor', which was not supplied.
undefined | 2023-04-10 02:31:57 error: callProcedureSync failed
undefined | 2023-04-10 02:31:57 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:45:09 error: executeProcedure failed : ConnectionError: Login failed for user 'XIMA_ADMIN_NODE'.
undefined | 2023-04-10 02:45:09 error: callProcedureSync failed
undefined | 2023-04-10 02:45:09 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:48:41 error: paramsCheck failed
undefined | 2023-04-10 02:48:41 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:49:01 error: paramsCheck failed
undefined | 2023-04-10 02:49:01 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:49:02 error: paramsCheck failed
undefined | 2023-04-10 02:49:02 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:49:13 error: paramsCheck failed
undefined | 2023-04-10 02:49:13 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:49:19 error: paramsCheck failed
undefined | 2023-04-10 02:49:19 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:49:23 error: paramsCheck failed
undefined | 2023-04-10 02:49:23 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:49:24 error: paramsCheck failed
undefined | 2023-04-10 02:49:24 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:50:12 error: paramsCheck failed
undefined | 2023-04-10 02:50:12 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:50:52 error: paramsCheck failed
undefined | 2023-04-10 02:50:52 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:54:25 error: paramsCheck failed
undefined | 2023-04-10 02:54:25 error: paramsCheck failed
undefined | 2023-04-10 02:54:25 error: paramsCheck failed
undefined | 2023-04-10 02:58:59 error: paramsCheck failed
undefined | 2023-04-10 02:58:59 error: paramsCheck failed
undefined | 2023-04-10 02:58:59 error: paramsCheck failed
undefined | 2023-04-10 02:59:16 error: paramsCheck failed
undefined | 2023-04-10 02:59:16 error: paramsCheck failed
undefined | 2023-04-10 02:59:16 error: paramsCheck failed
undefined | 2023-04-10 03:01:37 error: paramsCheck failed
undefined | 2023-04-10 03:01:37 error: paramsCheck failed
undefined | 2023-04-10 03:01:37 error: paramsCheck failed
undefined | 2023-04-10 03:01:45 error: paramsCheck failed
undefined | 2023-04-10 03:01:45 error: paramsCheck failed
undefined | 2023-04-10 03:01:45 error: paramsCheck failed
undefined | 2023-04-10 03:04:28 error: executeProcedure failed : RequestError: Could not find stored procedure 'SP_BANK_LIST'.
undefined | 2023-04-10 03:04:28 error: callProcedureSync failed
undefined | 2023-04-10 03:17:22 error: paramsCheck failed
undefined | 2023-04-10 03:17:22 error: paramsCheck failed
undefined | 2023-04-10 03:17:22 error: paramsCheck failed
undefined | 2023-04-10 03:19:28 error: paramsCheck failed
undefined | 2023-04-10 03:19:28 error: paramsCheck failed
