undefined | 2023-04-10 00:31:11 info: URL : /
undefined | 2023-04-10 00:31:11 info: Create a key attempt : wsF5ic_q2_xVGGwZtFIFaXF8pMrzJSSS
undefined | 2023-04-10 00:32:15 info: URL : /
undefined | 2023-04-10 00:33:38 info: URL : /
undefined | 2023-04-10 00:42:48 info: URL : /
undefined | 2023-04-10 00:42:57 info: URL : /
undefined | 2023-04-10 00:43:13 info: URL : /lang?num=0
undefined | 2023-04-10 00:43:13 info: URL : /
undefined | 2023-04-10 00:43:15 info: URL : /lang?num=2
undefined | 2023-04-10 00:43:15 info: URL : /
undefined | 2023-04-10 00:43:16 info: URL : /lang?num=0
undefined | 2023-04-10 00:43:16 info: URL : /
undefined | 2023-04-10 00:43:18 info: URL : /lang?num=0
undefined | 2023-04-10 00:43:18 info: URL : /
undefined | 2023-04-10 00:45:11 info: URL : /
undefined | 2023-04-10 00:45:37 info: URL : /api/user/signin
undefined | 2023-04-10 00:45:37 info: start decryptAll..
undefined | 2023-04-10 00:45:37 info: callProcedureSync start - SP_MEMBER_LOGIN
undefined | 2023-04-10 00:45:37 info: NAME : inUser_ID, VALUE : admin
undefined | 2023-04-10 00:45:37 info: NAME : inUser_Pwd, VALUE : 1111
undefined | 2023-04-10 00:45:37 info: NAME : inUser_IP, VALUE : ::1
undefined | 2023-04-10 00:45:37 info: NAME : sessionID, VALUE : wsF5ic_q2_xVGGwZtFIFaXF8pMrzJSSS
undefined | 2023-04-10 00:45:37 info: during time : 127
undefined | 2023-04-10 00:45:37 info: SP_MEMBER_LOGIN callProcedureSync success
undefined | 2023-04-10 01:06:26 info: URL : /
undefined | 2023-04-10 01:06:26 info: Create a key attempt : HYCZB-R1x8gpJmFe2p8vaqxnAygm4pHF
undefined | 2023-04-10 01:08:44 info: URL : /
undefined | 2023-04-10 01:08:56 info: URL : /
undefined | 2023-04-10 01:21:46 info: URL : /
undefined | 2023-04-10 01:32:28 info: URL : /
undefined | 2023-04-10 01:32:37 info: URL : /
undefined | 2023-04-10 01:34:57 info: URL : /
undefined | 2023-04-10 01:34:59 info: URL : /
undefined | 2023-04-10 01:45:53 info: URL : /
undefined | 2023-04-10 01:45:58 info: URL : /
undefined | 2023-04-10 01:55:02 info: URL : /
undefined | 2023-04-10 01:55:05 info: URL : /
undefined | 2023-04-10 02:03:19 info: URL : /
undefined | 2023-04-10 02:03:22 info: URL : /
undefined | 2023-04-10 02:14:12 info: URL : /lang?num=0
undefined | 2023-04-10 02:14:12 info: URL : /
undefined | 2023-04-10 02:14:14 info: URL : /lang?num=1
undefined | 2023-04-10 02:14:14 info: URL : /
undefined | 2023-04-10 02:14:17 info: URL : /lang?num=2
undefined | 2023-04-10 02:14:17 info: URL : /
undefined | 2023-04-10 02:26:49 info: URL : /
undefined | 2023-04-10 02:26:59 info: URL : /api/user/signin
undefined | 2023-04-10 02:26:59 info: start decryptAll..
undefined | 2023-04-10 02:26:59 info: callProcedureSync start - SP_MEMBER_LOGIN
undefined | 2023-04-10 02:26:59 info: NAME : inUser_ID, VALUE : admin
undefined | 2023-04-10 02:26:59 info: NAME : inUser_Pwd, VALUE : 1111
undefined | 2023-04-10 02:26:59 info: NAME : inUser_IP, VALUE : ::1
undefined | 2023-04-10 02:26:59 info: NAME : sessionID, VALUE : HYCZB-R1x8gpJmFe2p8vaqxnAygm4pHF
undefined | 2023-04-10 02:27:00 error: executeProcedure failed : RequestError: Procedure or function 'SP_MEMBER_LOGIN' expects parameter '@os_infor', which was not supplied.
undefined | 2023-04-10 02:27:00 error: callProcedureSync failed
undefined | 2023-04-10 02:27:00 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:27:02 info: URL : /lang?num=0
undefined | 2023-04-10 02:27:02 info: URL : /
undefined | 2023-04-10 02:31:48 info: URL : /lang?num=0
undefined | 2023-04-10 02:31:48 info: URL : /
undefined | 2023-04-10 02:31:55 info: URL : /api/user/signin
undefined | 2023-04-10 02:31:55 info: start decryptAll..
undefined | 2023-04-10 02:31:55 info: callProcedureSync start - SP_MEMBER_LOGIN
undefined | 2023-04-10 02:31:55 info: NAME : inUser_ID, VALUE : admin
undefined | 2023-04-10 02:31:55 info: NAME : inUser_Pwd, VALUE : 1111
undefined | 2023-04-10 02:31:55 info: NAME : inUser_IP, VALUE : ::1
undefined | 2023-04-10 02:31:55 info: NAME : sessionID, VALUE : HYCZB-R1x8gpJmFe2p8vaqxnAygm4pHF
undefined | 2023-04-10 02:31:56 error: executeProcedure failed : RequestError: Procedure or function 'SP_MEMBER_LOGIN' expects parameter '@os_infor', which was not supplied.
undefined | 2023-04-10 02:31:56 error: callProcedureSync failed
undefined | 2023-04-10 02:31:56 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:31:57 info: URL : /api/user/signin
undefined | 2023-04-10 02:31:57 info: start decryptAll..
undefined | 2023-04-10 02:31:57 info: callProcedureSync start - SP_MEMBER_LOGIN
undefined | 2023-04-10 02:31:57 info: NAME : inUser_ID, VALUE : admin
undefined | 2023-04-10 02:31:57 info: NAME : inUser_Pwd, VALUE : 1111
undefined | 2023-04-10 02:31:57 info: NAME : inUser_IP, VALUE : ::1
undefined | 2023-04-10 02:31:57 info: NAME : sessionID, VALUE : HYCZB-R1x8gpJmFe2p8vaqxnAygm4pHF
undefined | 2023-04-10 02:31:57 error: executeProcedure failed : RequestError: Procedure or function 'SP_MEMBER_LOGIN' expects parameter '@os_infor', which was not supplied.
undefined | 2023-04-10 02:31:57 error: callProcedureSync failed
undefined | 2023-04-10 02:31:57 error: Cannot read properties of null (reading 'recordset')
undefined | 2023-04-10 02:34:55 info: URL : /
undefined | 2023-04-10 02:43:16 info: URL : /
undefined | 2023-04-10 02:44:40 info: URL : /
undefined | 2023-04-10 02:45:00 info: URL : /
undefined | 2023-04-10 02:45:09 info: URL : /api/user/signin
undefined | 2023-04-10 02:45:09 info: start decryptAll..
undefined | 2023-04-10 02:45:09 info: callProcedureSync start - SP_MEMBER_LOGIN
undefined | 2023-04-10 02:45:09 info: NAME : inUser_ID, VALUE : admin
undefined | 2023-04-10 02:45:09 info: NAME : inUser_Pwd, VALUE : 1111
undefined | 2023-04-10 02:45:09 info: NAME : inUser_IP, VALUE : ::1
undefined | 2023-04-10 02:45:09 info: NAME : sessionID, VALUE : HYCZB-R1x8gpJmFe2p8vaqxnAygm4pHF
undefined | 2023-04-10 02:45:09 error: executeProcedure failed : ConnectionError: Login failed for user 'XIMA_ADMIN_NODE'.
undefined | 2023-04-10 02:45:09 error: callProcedureSync failed
undefined | 2023-04-10 02:45:09 error: Cannot read properties of null (reading 'recordset')
